David Perron,1387,24,32,107,24,195,0.24531362
Frank Vatrano,1351,22,19,86,75,231,0.2446336
Tyler Seguin,1263,21,29,84,23,189,0.24425969
Dawson Mercer,1358,27,29,36,63,161,0.24263622
Brock Boeser,1276,18,37,49,32,178,0.24235893
Mark Scheifele,1659,42,26,50,38,206,0.24201326
Jordan Eberle,1368,20,43,44,25,177,0.24195906
Nino Niederreiter,1270,24,17,165,33,181,0.24192913
Johnny Gaudreau,1553,21,53,5,18,220,0.24066323
Kasperi Kapanen,903,15,19,99,20,116,0.24058693
Troy Terry,1356,23,38,12,23,188,0.24041297
Garnet Hathaway,991,13,9,268,83,88,0.24016145
Tomáš Hertl,1523,22,41,91,57,183,0.23949441
Sammy Blais,838,9,16,238,35,70,0.23926014
Taylor Hall,972,16,20,35,33,150,0.23894032
Dominik Kubalík,1208,20,25,89,26,174,0.23778973
Matthew Beniers,1367,24,33,79,48,148,0.237564
Miles Wood,920,13,14,100,19,167,0.2375
Stefan Noesen,962,13,23,99,18,134,0.23726611
Erik Karlsson,2100,25,76,33,90,209,0.2372619
Alex Killorn,1411,27,37,61,31,143,0.23724309
Lawson Crouse,1367,24,21,194,58,151,0.23701536
Warren Foegele,851,13,15,96,22,126,0.23678025
Matt Duchene,1301,22,34,27,32,168,0.2365488
Trent Frederic,942,17,14,105,36,120,0.23646496
Michael Rasmussen,845,10,19,119,48,88,0.23639053
Oliver Bjorkstrand,1266,20,25,63,38,198,0.23597946
Victor Olofsson,1077,28,12,16,15,161,0.23584029
Mats Zuccarello,1575,22,45,51,51,198,0.23571428
Brayden Schenn,1511,21,44,140,41,144,0.23428193
Nick Schmaltz,1242,22,36,12,28,132,0.23349436
Patrick Kane,1410,21,36,13,19,227,0.23315602
Artturi Lehkonen,1309,21,30,93,43,150,0.23242933
Cale Makar,1583,17,49,65,78,176,0.23168035
John Carlson,936,9,20,42,87,124,0.23130341
Michael Bunting,1295,23,26,85,18,174,0.23069498
Blake Wheeler,1227,16,39,54,35,126,0.23064384
David Krejčí,1204,16,40,41,38,112,0.23027408
Brandon Tanev,1166,16,19,190,68,115,0.22984562
Josh Anderson,1170,21,11,139,49,164,0.22970085
Trevor Zegras,1525,23,42,46,29,184,0.22786885
Alex Iafallo,962,14,22,27,33,133,0.22739085
Nick Ritchie,1003,13,13,218,32,120,0.22731804
Tomáš Tatar,1240,20,28,65,30,153,0.22721774
Dillon Dubé,1243,18,27,136,21,151,0.22687047
Matt Martin,903,7,12,295,43,82,0.22563676
Blake Coleman,1247,18,20,107,39,188,0.22554129
Kyle Palmieri,940,16,17,76,17,122,0.225
Brandon Montour,1930,16,57,92,93,242,0.22461139
Pavel Zacha,1317,21,36,67,21,131,0.22418375
Jean-Gabriel Pageau,1233,13,27,175,61,123,0.223236
Kevin Hayes,1423,18,36,52,22,209,0.22312016
Bryan Rust,1450,20,26,98,50,211,0.22275862
Josh Morrissey,1890,16,60,89,119,172,0.22208994
Morgan Frost,1324,19,27,85,53,155,0.22035498
Noel Acciari,1102,14,9,244,81,102,0.22005444
Jakob Chychrun,1090,9,24,55,83,144,0.21995412
Conor Garland,1224,17,29,47,20,167,0.21956699
Casey Mittelstadt,1290,15,44,30,16,135,0.21899224
Nic Dowd,868,13,12,136,61,62,0.218894
Tyler Bertuzzi,824,8,22,54,22,107,0.2184466
Zach Parise,1324,21,13,89,83,182,0.21771148
Mason McTavish,1230,17,26,55,37,161,0.21727642
Tyler Johnson,928,12,20,49,25,125,0.21686422
Rasmus Dahlin,2012,15,58,105,132,204,0.21657554
Scott Laughton,1426,18,25,156,57,170,0.21633941
Adam Henrique,1127,22,16,28,46,132,0.21561668
Keegan Kolesar,849,8,10,279,31,63,0.21525323
Phillip Danault,1503,18,36,81,75,152,0.21473719
Max Domi,1422,20,36,22,24,179,0.21448663
Jesperi Kotkaniemi,1208,18,25,105,21,129,0.21295529
Nick Cousins,871,9,18,87,36,102,0.21268656
Mason Marchment,1068,12,19,88,39,148,0.21207865
Shea Theodore,1179,8,33,16,86,136,0.2120441
Noah Dobson,1590,13,36,60,104,206,0.21163522
Calle Järnkrok,1050,20,19,50,19,106,0.21142857
Ivan Barbashev,1374,16,29,182,46,126,0.21142649
Chandler Stephenson,1540,16,49,74,56,120,0.21136363
Jaden Schwartz,1237,21,19,55,25,167,0.21119644
Kevin Labanc,1031,15,18,70,28,129,0.21096023
Luke Schenn,1145,4,18,318,98,81,0.21048034
Dakota Joshua,910,11,12,222,30,71,0.21043956
Jonathan Huberdeau,1332,15,40,65,27,126,0.21039789
Yanni Gourde,1388,14,34,118,54,141,0.21037463
Alex Pietrangelo,1751,11,43,65,177,170,0.21030839
Trevor Moore,1002,10,19,60,23,163,0.20958083
Ryan Lomberg,927,12,8,149,24,134,0.20954692
Phil Kessel,1050,14,22,10,28,149,0.2095238
Jack McBain,1146,12,14,304,51,85,0.20942408
Kirill Marchenko,955,21,4,34,39,131,0.20942408
Cody Glass,1063,14,21,62,31,131,0.20931326
Matias Maccelli,1004,11,38,24,20,61,0.20916334
Sonny Milano,826,11,22,39,15,80,0.20914043
Alexis Lafrenière,1233,16,23,141,28,135,0.20904298
Andreas Athanasiou,1296,20,20,43,44,175,0.20852623
Mikhail Sergachev,1881,10,54,128,149,156,0.20813397
William Karlsson,1432,14,39,50,50,161,0.20810055
Robert Thomas,1412,18,47,15,29,106,0.20768413
Erik Haula,1330,14,27,92,54,164,0.20751879
Nick Suzuki,1730,26,40,50,56,162,0.20722543
Jack Quinn,1039,14,23,43,19,126,0.20717035
Evan Rodrigues,1232,16,23,34,27,184,0.20698051
Blake Lizotte,1048,11,23,96,39,108,0.20610687
Seth Jarvis,1329,14,25,73,48,187,0.20598194
Jeff Carter,1083,13,16,80,54,139,0.20590951
Kirby Dach,1073,14,24,53,38,107,0.20573159
Alexander Barabanov,1228,15,32,40,37,120,0.20521172
Brent Burns,1904,18,43,40,86,255,0.20509453
Mike Hoffman,1050,14,20,24,24,148,0.2047619
Wyatt Johnston,1270,24,17,22,31,160,0.2047244
Charlie McAvoy,1494,7,45,84,131,105,0.2044846
Jacob Trouba,1738,8,22,218,196,199,0.20368239
Tanner Jeannot,1083,6,12,290,62,107,0.20313942
Andrew Mangiapane,1379,17,26,86,26,182,0.20304568
Trevor Lewis,994,9,11,158,33,144,0.20271629
Alexey Toropchenko,833,10,9,122,46,86,0.20228091
Anthony Beauvillier,1334,18,22,78,30,176,0.20202398
Evgeny Kuznetsov,1463,12,43,43,29,172,0.20112781
Eetu Luostarinen,1311,17,26,64,51,132,0.19984744
Marcus Foligno,974,7,14,237,40,83,0.19943531
Radko Gudas,1250,2,15,312,124,110,0.1992
Charlie Coyle,1393,16,29,68,63,139,0.19885139
Kris Letang,1591,12,29,162,108,161,0.19861722
Anthony Cirelli,961,11,18,34,46,111,0.198231
Miro Heiskanen,2014,11,62,49,96,206,0.19798907
Adam Lowry,1283,13,23,161,46,126,0.19777864
Barrett Hayton,1435,19,24,83,33,178,0.19773519
Nick Bjugstad,1264,17,12,168,44,145,0.19699367
Kent Johnson,1147,16,24,15,30,126,0.19681778
Morgan Barron,928,8,13,118,44,112,0.19665948
Mike Matheson,1174,8,26,53,80,126,0.19612436
Shane Pinto,1310,20,15,71,49,158,0.19561068
Anthony Mantha,953,11,16,68,24,119,0.19517313
Jack Roslovic,1266,11,33,42,53,123,0.19510268
Zach Aston-Reese,841,10,4,163,43,89,0.19470868
Steven Lorentz,947,10,9,133,46,111,0.19403379
Jonatan Berggren,902,15,13,20,28,98,0.19345898
Sam Lafferty,1023,12,15,125,33,102,0.193304
Gustav Nyquist,899,11,16,41,30,102,0.1932703
Tyson Barrie,1681,13,42,55,90,163,0.19318857
Lucas Raymond,1286,17,28,43,20,134,0.19304043
Vladislav Namestnikov,972,8,17,108,39,108,0.19290123
Ryan Johansen,867,12,16,49,19,86,0.19232987
Marcus Johansson,1319,19,27,26,23,137,0.19181197
Nicolas Roy,1059,14,16,83,41,101,0.1914542
Adam Fox,1999,12,60,25,125,159,0.19122061
Victor Hedman,1803,9,40,95,136,185,0.19120909
James van Riemsdyk,937,12,17,18,20,119,0.19103521
Jeff Petry,1363,5,26,190,111,113,0.19075568
Darnell Nurse,1927,12,31,146,164,203,0.19045147
Torey Krug,1171,7,25,40,87,126,0.19043552
Ryan O'Reilly,951,16,14,18,23,102,0.19032597
Michael McLeod,980,4,22,127,51,90,0.19005102
Sean Durzi,1425,9,29,68,142,110,0.18982456
Brandon Saad,1183,19,18,24,31,127,0.18977176
Taylor Raddysh,1292,20,17,82,38,129,0.18962848
Justin Faulk,1917,11,39,112,140,196,0.18909754
Nico Sturm,1090,14,12,100,45,119,0.18899082
Pierre Engvall,1036,17,13,47,6,131,0.18894787
Conor Sheary,1293,15,22,57,39,154,0.18890177
Kyle Okposo,1100,11,17,78,25,150,0.18863636
Frédérick Gaudreau,1316,19,19,42,52,138,0.18844984
Jordan Staal,1318,17,17,155,39,124,0.1879742
Corey Perry,937,12,13,48,25,116,0.18729989
Barclay Goodrow,1162,11,20,122,64,89,0.18631669
Yegor Sharangovich,1081,13,17,22,41,131,0.18593894
Yakov Trenin,1166,12,12,167,30,140,0.18589193
Teuvo Teräväinen,1150,12,25,15,18,144,0.18586956
Jordan Martinook,1282,13,21,81,31,162,0.18584243
Vince Dunn,1917,14,50,115,80,149,0.18583724
Eric Staal,1025,14,15,27,45,106,0.18560975
Eric Robinson,1004,12,12,124,32,98,0.18525896
Moritz Seider,1898,5,37,207,190,140,0.18453635
Jonathan Toews,939,15,16,9,23,87,0.18397231
Jason Dickinson,1243,9,21,112,80,114,0.18382944
Sean Kuraly,1070,11,9,187,46,100,0.18341121
J.T. Compher,1684,17,35,37,82,154,0.18334323
Max Jones,877,9,10,110,18,107,0.18301026
Connor Dewar,888,6,12,124,50,87,0.18299549
Kaapo Kakko,1255,18,22,26,27,125,0.18286852
Anthony DeAngelo,1544,11,31,52,79,174,0.18264248
Aaron Ekblad,1661,14,24,77,80,216,0.18196869
Bowen Byram,919,10,14,82,54,65,0.18171926
Nick Seeler,1116,4,10,126,161,84,0.18100358
Anton Lundell,1195,12,21,29,32,152,0.18096234
Joel Farabee,1395,15,24,71,45,145,0.18082437
Jesse Puljujärvi,917,5,11,139,26,125,0.18075245
Evgenii Dadonov,1075,7,26,33,43,110,0.18069767
Fabian Zetterlund,888,6,17,53,20,118,0.18046171
Nick Paul,1293,17,15,111,46,120,0.17962103
Evan Bouchard,1518,8,32,95,77,156,0.17934782
Jimmy Vesey,1102,11,14,98,40,123,0.1792196
Derek Ryan,893,13,7,54,42,92,0.17917133
Quinn Hughes,2002,7,69,29,71,154,0.17894605
Morgan Rielly,1411,4,37,70,85,126,0.17859673
Thomas Chabot,1698,11,30,79,123,165,0.17859246
Alexander Kerfoot,1199,10,22,54,46,133,0.17848206
Christian Fischer,1188,13,14,126,37,122,0.1780303
Filip Hronek,1389,9,30,102,58,124,0.17782577
John-Jason Peterka,1051,12,20,18,10,125,0.17697431
Shayne Gostisbehere,1561,13,28,46,89,155,0.17680973
Kailer Yamamoto,962,10,15,77,24,97,0.1764553
Tyson Jost,940,7,18,61,32,98,0.17632978
Milan Lucic,871,7,12,168,15,73,0.17623421
Mikael Granlund,1408,10,31,78,60,121,0.17613636
Colton Sissons,1298,12,18,164,72,87,0.17604006
Oskar Sundqvist,929,10,18,63,28,69,0.17572658
Erik Gustafsson,1384,7,35,52,63,122,0.17485549
Seth Jones,1760,12,25,106,125,178,0.17443181
Hampus Lindholm,1855,10,43,78,100,158,0.17385444
Jared Spurgeon,1723,11,23,66,179,149,0.17353453
Casey Cizikas,1177,6,15,188,58,111,0.17289719
Dmitry Orlov,1488,7,29,137,85,124,0.17288306
Matt Roy,1540,9,17,119,153,135,0.17224025
Alex Newhook,1144,14,16,60,26,116,0.17220279
Cole Smith,879,4,13,198,25,64,0.17178612
